epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6284,1.16143,0.99371,1.04545,0.76626,0.71275,0.75495,0.57383,0.95858,0.74066,0.92976,0.00331962,0.00331962,0.00331962
2,107.54,1.05514,0.69739,0.96253,0.81885,0.67699,0.74031,0.5651,0.90096,0.77324,0.91959,0.00663099,0.00663099,0.00663099
3,159.046,1.08055,0.70612,0.97235,0.79914,0.67381,0.75501,0.55004,1.07055,0.7645,0.95786,0.00992037,0.00992037,0.00992037
4,210.666,1.1022,0.70189,0.97623,0.81769,0.68388,0.75439,0.56831,0.91786,0.73997,0.94223,0.009901,0.009901,0.009901
5,264.35,1.07426,0.66655,0.97222,0.78146,0.71005,0.76403,0.571,0.94739,0.76159,0.93985,0.009868,0.009868,0.009868
6,320.807,1.05434,0.64203,0.96887,0.8246,0.72487,0.78628,0.59832,0.91443,0.69711,0.93645,0.009835,0.009835,0.009835
7,376.267,1.02816,0.63037,0.95964,0.82171,0.71013,0.78074,0.59477,0.90968,0.72561,0.93037,0.009802,0.009802,0.009802
8,431.631,1.00713,0.60648,0.95142,0.79093,0.70534,0.75789,0.5726,0.88678,0.73684,0.93235,0.009769,0.009769,0.009769
9,486.954,1.00235,0.60494,0.95425,0.81337,0.74032,0.79045,0.60694,0.86647,0.70036,0.92633,0.009736,0.009736,0.009736
10,542.345,0.98796,0.59393,0.94784,0.83079,0.71808,0.77805,0.59993,0.86951,0.70805,0.92159,0.009703,0.009703,0.009703
11,597.788,0.98764,0.58836,0.94858,0.84005,0.73344,0.80203,0.61989,0.8477,0.68303,0.91791,0.00967,0.00967,0.00967
12,652.248,0.9731,0.57928,0.94454,0.82895,0.73489,0.80446,0.63044,0.8329,0.6706,0.91991,0.009637,0.009637,0.009637
13,705.723,0.97424,0.56862,0.94094,0.84848,0.73368,0.79399,0.6199,0.8525,0.68172,0.92363,0.009604,0.009604,0.009604
14,759.073,0.94594,0.55891,0.93524,0.82433,0.74351,0.7939,0.62398,0.8442,0.68947,0.92284,0.009571,0.009571,0.009571
15,812.667,0.96726,0.5578,0.94028,0.83505,0.74609,0.80167,0.63417,0.82983,0.6771,0.91409,0.009538,0.009538,0.009538
16,866.218,0.95185,0.55202,0.93452,0.82623,0.75496,0.80454,0.63935,0.81929,0.6696,0.91449,0.009505,0.009505,0.009505
17,919.892,0.92695,0.5407,0.93052,0.84367,0.73796,0.79789,0.63046,0.85248,0.67423,0.91882,0.009472,0.009472,0.009472
18,973.472,0.94437,0.54898,0.93496,0.84678,0.75978,0.82367,0.6541,0.82077,0.63108,0.91397,0.009439,0.009439,0.009439
19,1027.2,0.94927,0.54872,0.93577,0.84526,0.75924,0.80734,0.63914,0.8161,0.64946,0.90845,0.009406,0.009406,0.009406
20,1080.53,0.92205,0.53143,0.92925,0.84057,0.76554,0.80871,0.64197,0.8084,0.65851,0.91026,0.009373,0.009373,0.009373
21,1133.93,0.92893,0.53036,0.93002,0.85117,0.75778,0.8185,0.65279,0.80222,0.65226,0.90909,0.00934,0.00934,0.00934
22,1187.27,0.9157,0.52837,0.92569,0.85096,0.75488,0.81243,0.6413,0.80999,0.65491,0.9158,0.009307,0.009307,0.009307
23,1240.71,0.92262,0.52943,0.92926,0.87188,0.76513,0.82345,0.65597,0.80719,0.6449,0.91025,0.009274,0.009274,0.009274
24,1294.15,0.91275,0.51688,0.92418,0.85204,0.77277,0.82728,0.6642,0.79313,0.63134,0.90667,0.009241,0.009241,0.009241
25,1347.86,0.92321,0.52543,0.9281,0.86165,0.76487,0.82445,0.65823,0.80801,0.62741,0.90892,0.009208,0.009208,0.009208
26,1401.53,0.91398,0.51857,0.92291,0.85508,0.77627,0.82652,0.65875,0.79588,0.6271,0.90677,0.009175,0.009175,0.009175
