epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3284,1.11192,1.55514,1.3858,0.89078,0.76656,0.8568,0.65918,0.86798,0.85665,1.34197,0.00331699,0.00331699,0.00331699
2,87.8461,1.09431,1.05014,1.34369,0.71835,0.52262,0.60547,0.38743,1.24917,1.48697,1.66873,0.00662838,0.00662838,0.00662838
3,129.148,1.20019,1.19916,1.42463,0.73998,0.65024,0.73363,0.477,1.21562,1.48145,1.64146,0.00991777,0.00991777,0.00991777
4,170.357,1.33421,1.40649,1.53333,0.69961,0.67205,0.71181,0.44439,1.3836,1.3752,1.90547,0.009901,0.009901,0.009901
5,211.59,1.32719,1.3772,1.51974,0.72403,0.59935,0.67773,0.44072,1.21854,1.32171,1.66259,0.009868,0.009868,0.009868
6,252.834,1.30238,1.35444,1.51144,0.77877,0.6874,0.76577,0.51683,1.15863,1.30349,1.60856,0.009835,0.009835,0.009835
7,293.988,1.2897,1.36565,1.51854,0.728,0.61147,0.69754,0.45526,1.27633,1.33487,1.72533,0.009802,0.009802,0.009802
8,334.685,1.26439,1.29161,1.49142,0.8455,0.78684,0.85319,0.61479,1.00737,0.94093,1.44495,0.009769,0.009769,0.009769
9,375.449,1.25575,1.24069,1.4833,0.84583,0.78881,0.85273,0.62574,1.03829,0.91818,1.46974,0.009736,0.009736,0.009736
10,416.301,1.22665,1.21644,1.46216,0.83356,0.78271,0.84104,0.60046,1.05842,0.98316,1.49837,0.009703,0.009703,0.009703
11,457.056,1.20038,1.15909,1.4301,0.86354,0.8231,0.87325,0.63685,0.97938,0.85364,1.43147,0.00967,0.00967,0.00967
12,497.805,1.1943,1.14799,1.43066,0.88087,0.81228,0.88446,0.66327,0.9167,0.78237,1.35945,0.009637,0.009637,0.009637
13,538.581,1.17831,1.10635,1.42696,0.88487,0.83813,0.8982,0.66604,0.95086,0.76463,1.3907,0.009604,0.009604,0.009604
14,579.364,1.15259,1.09695,1.4089,0.88832,0.78433,0.87848,0.64181,0.96062,0.77268,1.39785,0.009571,0.009571,0.009571
15,620.197,1.14314,1.06747,1.39194,0.83138,0.82553,0.86833,0.64274,0.9552,0.78972,1.4154,0.009538,0.009538,0.009538
16,661.378,1.14224,1.06557,1.39574,0.85635,0.69339,0.79183,0.58408,0.99943,0.99804,1.45272,0.009505,0.009505,0.009505
17,703.164,1.13627,1.05116,1.38861,0.89333,0.77383,0.87532,0.66352,0.9158,0.84495,1.3572,0.009472,0.009472,0.009472
18,744.629,1.12881,1.04529,1.38999,0.88149,0.78352,0.85651,0.64549,0.91513,0.81383,1.36411,0.009439,0.009439,0.009439
19,784.256,1.10427,0.97892,1.36259,0.8868,0.8126,0.88368,0.67527,0.90979,0.82312,1.34807,0.009406,0.009406,0.009406
20,824.423,1.10103,0.97932,1.36403,0.89311,0.83199,0.89731,0.67972,0.89722,0.73183,1.34223,0.009373,0.009373,0.009373
21,865.817,1.09103,1.00242,1.35841,0.89635,0.85225,0.90464,0.68435,0.90052,0.68138,1.34514,0.00934,0.00934,0.00934
22,907.883,1.09191,0.97542,1.35679,0.92141,0.83342,0.90617,0.68968,0.90166,0.69071,1.33466,0.009307,0.009307,0.009307
23,949.848,1.07995,0.96572,1.34112,0.8927,0.80452,0.87434,0.67543,0.85956,0.74344,1.31699,0.009274,0.009274,0.009274
24,990.899,1.06497,0.94796,1.34223,0.92909,0.82472,0.89917,0.69203,0.85244,0.73634,1.31251,0.009241,0.009241,0.009241
25,1030.87,1.06173,0.9413,1.33714,0.89569,0.8546,0.9116,0.69479,0.90965,0.69819,1.38627,0.009208,0.009208,0.009208
26,1072.12,1.02635,0.91049,1.32439,0.89423,0.86995,0.91375,0.71455,0.82974,0.63186,1.27607,0.009175,0.009175,0.009175
27,1112.38,1.04796,0.91156,1.32542,0.90915,0.87305,0.92166,0.72222,0.82709,0.63041,1.28502,0.009142,0.009142,0.009142
28,1153.22,1.02672,0.87137,1.30867,0.9142,0.86922,0.91583,0.72016,0.82466,0.63228,1.28047,0.009109,0.009109,0.009109
29,1194.37,1.04215,0.88102,1.33393,0.88602,0.84087,0.8979,0.70535,0.81963,0.67236,1.29566,0.009076,0.009076,0.009076
30,1235.84,1.03569,0.87388,1.31689,0.90711,0.85541,0.91106,0.71479,0.81993,0.67379,1.27685,0.009043,0.009043,0.009043
31,1276.92,1.03162,0.85417,1.30767,0.88603,0.81745,0.8784,0.67663,0.83502,0.68131,1.29623,0.00901,0.00901,0.00901
32,1318.05,1.0055,0.84294,1.29373,0.8843,0.8026,0.87743,0.68393,0.83278,0.72616,1.28421,0.008977,0.008977,0.008977
33,1358.94,0.99839,0.82967,1.28714,0.9133,0.8424,0.90526,0.71658,0.80427,0.62478,1.26331,0.008944,0.008944,0.008944
34,1399.59,1.00996,0.8531,1.29671,0.90876,0.84733,0.90976,0.71214,0.83669,0.66015,1.2755,0.008911,0.008911,0.008911
35,1441.2,0.99115,0.8454,1.29299,0.88871,0.84168,0.89332,0.69866,0.8412,0.67719,1.29796,0.008878,0.008878,0.008878
36,1482.22,1.00638,0.82888,1.29928,0.89858,0.85703,0.91132,0.71508,0.82909,0.62012,1.27327,0.008845,0.008845,0.008845
37,1523.01,0.98061,0.81521,1.26936,0.90071,0.89397,0.9202,0.73077,0.79501,0.5914,1.2506,0.008812,0.008812,0.008812
38,1562.46,0.98864,0.81367,1.27908,0.91829,0.83926,0.8845,0.6977,0.81734,0.76412,1.2794,0.008779,0.008779,0.008779
39,1601.89,0.97158,0.79896,1.2738,0.93117,0.86328,0.91414,0.72276,0.79269,0.63453,1.25366,0.008746,0.008746,0.008746
40,1641.24,0.96758,0.78884,1.27225,0.89569,0.82543,0.89663,0.69072,0.8824,0.68591,1.30496,0.008713,0.008713,0.008713
41,1680.6,0.96662,0.79251,1.27108,0.90126,0.84572,0.90566,0.71245,0.80756,0.61121,1.2726,0.00868,0.00868,0.00868
42,1720,0.95016,0.81615,1.25111,0.93021,0.89354,0.93031,0.7423,0.79346,0.56117,1.25545,0.008647,0.008647,0.008647
43,1759.39,0.96263,0.78132,1.26556,0.91801,0.85945,0.91429,0.7252,0.80485,0.62473,1.28018,0.008614,0.008614,0.008614
44,1798.74,0.95216,0.77406,1.26098,0.90429,0.8546,0.91196,0.72873,0.77312,0.62279,1.24771,0.008581,0.008581,0.008581
45,1838.33,0.96745,0.77015,1.27589,0.9152,0.8126,0.89194,0.71279,0.79622,0.69342,1.26529,0.008548,0.008548,0.008548
46,1877.68,0.95064,0.77387,1.26201,0.93067,0.79968,0.89705,0.70971,0.78765,0.65356,1.24506,0.008515,0.008515,0.008515
47,1917.04,0.95293,0.76993,1.25899,0.8946,0.809,0.89163,0.70839,0.8006,0.68763,1.26497,0.008482,0.008482,0.008482
48,1956.4,0.94419,0.75739,1.25263,0.93253,0.88045,0.93031,0.74318,0.78299,0.57525,1.23183,0.008449,0.008449,0.008449
49,1995.76,0.94042,0.74144,1.23654,0.90186,0.86103,0.90224,0.7169,0.79389,0.62795,1.24081,0.008416,0.008416,0.008416
50,2035.14,0.93964,0.74861,1.24632,0.90162,0.87641,0.91292,0.72648,0.80341,0.60856,1.26174,0.008383,0.008383,0.008383
51,2074.52,0.93058,0.73512,1.24049,0.91496,0.85057,0.90793,0.73308,0.77894,0.63698,1.23193,0.00835,0.00835,0.00835
52,2113.88,0.93843,0.75895,1.24073,0.93565,0.86591,0.9157,0.73927,0.77183,0.5908,1.23987,0.008317,0.008317,0.008317
53,2153.28,0.92658,0.73732,1.23926,0.91342,0.86069,0.91575,0.73774,0.76769,0.58133,1.22635,0.008284,0.008284,0.008284
54,2192.62,0.93131,0.73848,1.23907,0.93287,0.88772,0.92695,0.74602,0.77023,0.56195,1.22718,0.008251,0.008251,0.008251
55,2232.04,0.92307,0.71708,1.22415,0.93471,0.87237,0.92125,0.74136,0.76088,0.5853,1.23077,0.008218,0.008218,0.008218
56,2271.4,0.92528,0.72665,1.23924,0.91867,0.8668,0.91294,0.73134,0.77756,0.63426,1.22214,0.008185,0.008185,0.008185
57,2310.8,0.92361,0.7234,1.2331,0.93455,0.89969,0.93235,0.74607,0.76981,0.53192,1.22515,0.008152,0.008152,0.008152
58,2350.17,0.92705,0.72211,1.23889,0.9007,0.87237,0.91695,0.72983,0.78226,0.59663,1.23751,0.008119,0.008119,0.008119
59,2389.56,0.91328,0.70075,1.22522,0.92933,0.88161,0.9267,0.74644,0.75092,0.56606,1.22448,0.008086,0.008086,0.008086
60,2428.92,0.91095,0.71794,1.22252,0.93465,0.90145,0.92835,0.75157,0.75395,0.53021,1.22318,0.008053,0.008053,0.008053
61,2468.33,0.90124,0.68957,1.21515,0.9232,0.89336,0.92927,0.75599,0.75479,0.54573,1.21715,0.00802,0.00802,0.00802
62,2507.74,0.89909,0.69642,1.21978,0.94154,0.88468,0.93329,0.75319,0.76501,0.53623,1.22331,0.007987,0.007987,0.007987
63,2547.08,0.89564,0.69489,1.21504,0.92519,0.90911,0.93325,0.75997,0.7359,0.5216,1.20498,0.007954,0.007954,0.007954
64,2586.47,0.88532,0.67526,1.2044,0.93604,0.88664,0.93008,0.75466,0.74642,0.53805,1.21155,0.007921,0.007921,0.007921
65,2625.84,0.88708,0.69327,1.21547,0.93104,0.86511,0.91777,0.74088,0.75947,0.5726,1.2286,0.007888,0.007888,0.007888
66,2665.22,0.88514,0.67645,1.20789,0.93808,0.87803,0.9265,0.75568,0.74247,0.57579,1.22728,0.007855,0.007855,0.007855
67,2704.57,0.87695,0.68371,1.208,0.90672,0.86369,0.91795,0.74475,0.76388,0.56861,1.24108,0.007822,0.007822,0.007822
68,2743.92,0.88901,0.67685,1.20767,0.9005,0.87884,0.91834,0.74351,0.76259,0.57724,1.23745,0.007789,0.007789,0.007789
69,2783.32,0.87842,0.68336,1.20612,0.90125,0.87803,0.91763,0.73816,0.77841,0.5848,1.25009,0.007756,0.007756,0.007756
70,2822.68,0.87632,0.6889,1.21034,0.93225,0.87813,0.92205,0.75108,0.73911,0.54784,1.22063,0.007723,0.007723,0.007723
71,2862.05,0.87652,0.65994,1.20941,0.89623,0.85813,0.90301,0.72891,0.75814,0.59676,1.2373,0.00769,0.00769,0.00769
72,2901.39,0.86417,0.66093,1.19125,0.93831,0.89689,0.93186,0.76022,0.72721,0.52264,1.19445,0.007657,0.007657,0.007657
73,2940.76,0.87621,0.66092,1.20725,0.90938,0.87318,0.9158,0.74073,0.74482,0.57833,1.2223,0.007624,0.007624,0.007624
74,2980.1,0.86689,0.6588,1.19728,0.93741,0.88307,0.93043,0.75543,0.72783,0.50885,1.20586,0.007591,0.007591,0.007591
75,3019.45,0.84813,0.64106,1.18949,0.91648,0.8958,0.93097,0.76001,0.73722,0.53695,1.21576,0.007558,0.007558,0.007558
76,3058.83,0.86375,0.65119,1.19379,0.93193,0.86511,0.92059,0.73702,0.75102,0.5238,1.22484,0.007525,0.007525,0.007525
77,3098.17,0.86068,0.65463,1.19085,0.93422,0.84491,0.91644,0.7376,0.74803,0.53208,1.22658,0.007492,0.007492,0.007492
78,3137.55,0.84795,0.64917,1.1763,0.93529,0.85231,0.91782,0.74549,0.73687,0.53872,1.21793,0.007459,0.007459,0.007459
79,3176.92,0.85667,0.6475,1.18265,0.91462,0.88257,0.92576,0.74698,0.74798,0.50862,1.22483,0.007426,0.007426,0.007426
80,3216.28,0.84552,0.63866,1.18616,0.91867,0.88207,0.92405,0.7533,0.71911,0.51334,1.20155,0.007393,0.007393,0.007393
81,3255.61,0.82299,0.62501,1.16795,0.91003,0.83845,0.90588,0.74012,0.72315,0.57595,1.20789,0.00736,0.00736,0.00736
82,3295,0.84073,0.63759,1.17391,0.92386,0.86672,0.92305,0.75778,0.71952,0.53364,1.20616,0.007327,0.007327,0.007327
83,3334.35,0.83833,0.63624,1.1793,0.89948,0.82714,0.89436,0.7267,0.74914,0.59494,1.22861,0.007294,0.007294,0.007294
84,3373.7,0.83674,0.64613,1.18194,0.89941,0.84087,0.9,0.72799,0.75419,0.55604,1.22594,0.007261,0.007261,0.007261
85,3413.08,0.83664,0.66984,1.17356,0.91891,0.86952,0.91564,0.73877,0.74285,0.55207,1.225,0.007228,0.007228,0.007228
86,3452.41,0.83837,0.63458,1.17509,0.93365,0.88655,0.93023,0.75419,0.729,0.51076,1.20749,0.007195,0.007195,0.007195
87,3491.79,0.84082,0.6149,1.17089,0.92134,0.81745,0.8998,0.7327,0.74348,0.63553,1.22488,0.007162,0.007162,0.007162
88,3531.17,0.81506,0.60202,1.15981,0.92256,0.89984,0.9346,0.76769,0.72759,0.52047,1.20076,0.007129,0.007129,0.007129
89,3570.61,0.82784,0.61245,1.1608,0.9333,0.88288,0.93006,0.76285,0.73117,0.52422,1.21065,0.007096,0.007096,0.007096
90,3609.99,0.82158,0.61201,1.16793,0.92891,0.89499,0.93226,0.76641,0.72328,0.51369,1.19757,0.007063,0.007063,0.007063
91,3649.38,0.82946,0.60742,1.16462,0.92076,0.88207,0.91903,0.74566,0.74249,0.54876,1.22538,0.00703,0.00703,0.00703
92,3688.68,0.80458,0.60231,1.1562,0.92844,0.88036,0.92641,0.74831,0.74903,0.51242,1.2284,0.006997,0.006997,0.006997
93,3728.03,0.81906,0.60576,1.16618,0.89573,0.85622,0.90528,0.72971,0.75984,0.58579,1.24632,0.006964,0.006964,0.006964
94,3767.36,0.8156,0.60389,1.16064,0.92879,0.88499,0.92753,0.75657,0.74108,0.52877,1.20627,0.006931,0.006931,0.006931
95,3806.78,0.80022,0.59112,1.1421,0.92945,0.91518,0.93648,0.7709,0.72018,0.50675,1.19801,0.006898,0.006898,0.006898
96,3846.15,0.81183,0.59937,1.15619,0.92382,0.85541,0.9135,0.75317,0.71663,0.56735,1.19717,0.006865,0.006865,0.006865
97,3885.51,0.7996,0.58769,1.15182,0.89195,0.88288,0.92552,0.76381,0.72032,0.52436,1.20112,0.006832,0.006832,0.006832
98,3924.87,0.81263,0.5943,1.15898,0.93312,0.90388,0.93423,0.76642,0.73089,0.49262,1.2062,0.006799,0.006799,0.006799
99,3964.21,0.8026,0.58591,1.15085,0.93436,0.86239,0.92614,0.75752,0.72236,0.49353,1.20345,0.006766,0.006766,0.006766
100,4003.58,0.78732,0.57225,1.13952,0.93818,0.89822,0.93222,0.7731,0.70116,0.50252,1.18531,0.006733,0.006733,0.006733
101,4042.96,0.80845,0.59013,1.15737,0.92066,0.87076,0.91314,0.75159,0.71479,0.53992,1.20254,0.0067,0.0067,0.0067
102,4082.31,0.78605,0.57347,1.14485,0.93772,0.87076,0.92761,0.76474,0.71873,0.51371,1.20493,0.006667,0.006667,0.006667
103,4121.66,0.79062,0.58028,1.14369,0.92148,0.86265,0.91637,0.74871,0.741,0.55957,1.21245,0.006634,0.006634,0.006634
104,4161.01,0.78763,0.57379,1.13909,0.92378,0.87135,0.91954,0.75652,0.73952,0.53102,1.20865,0.006601,0.006601,0.006601
